P W
0 0
16 0
32 0
48 0
64 -0
80 -0
96 -0
112 0
128 0
144 0
160 -0
176 -0
192 -0
208 0
224 0
240 0
256 0
272 -0
288 0
304 -0
320 -0
336 -0
352 0
368 -0
384 0
400 0
416 0
432 -0
448 -0
464 0
480 0
496 -0
512 -0
528 -0
544 0
560 -0
576 0
592 0
608 0
624 -0
640 0
656 0
672 0
688 0
704 -0
720 -0
736 -0
752 -0
768 0
784 0
800 -0
816 -0
832 0
848 -0
864 0
880 0
896 0
912 0
928 -0
944 0
960 0
976 0
992 1.97407e-08
1008 6.1836e-08
1024 1.33813e-05
1040 7.47778e-05
1056 5.36311e-06
1072 9.18771e-06
1088 1.1195e-05
1104 -0.00101066
1120 2.62022e-05
1136 5.14447e-05
1152 -0.000127873
1168 -0
1184 0.00013926
1200 0
1216 3.82829e-05
1232 2.25028e-06
1248 -1.00734e-05
1264 7.8345e-06
1280 5.03528e-06
1296 -4.22777e-05
1312 -0
1328 -2.87424e-05
1344 -0
1360 0
1376 0
1392 -5.24495e-06
1408 -0.00027193
1424 3.00668e-05
1440 2.38756e-05
1456 5.57781e-05
1472 -5.61746e-05
1488 -0
1504 -2.94517e-06
1520 -4.98302e-05
1536 -1.47594e-05
1552 0
1568 -0
1584 -0
1600 -0
1616 -0
1632 0
1648 0
1664 0
1680 -0
1696 -0
1712 0
1728 0
1744 -0
1760 0
1776 -0
1792 -0
1808 0
1824 0
1840 0
1856 -0
1872 -0
1888 -0
1904 0
1920 -0
1936 -0
1952 -0
1968 0
1984 0
2000 0
2016 -0
2032 -0
2048 -0
2064 -0
2080 -0
2096 0
2112 0
2128 0
2144 0
2160 -0
2176 -0
2192 -0
2208 0
2224 0
2240 -0
2256 0
2272 0
2288 0
2304 0
2320 -0
2336 0
2352 -0
2368 0
2384 0
2400 0
2416 0
2432 9.52499e-08
2448 -0.000158669
2464 1.5643e-05
2480 3.84694e-05
2496 0.000635396
2512 0
2528 0
2544 0
2560 0
2576 0
2592 -0
2608 -0
2624 -0
2640 -0
2656 -0
2672 0
2688 0
2704 -0
2720 -0
2736 0
2752 0
2768 0
2784 0
2800 0
2816 0
2832 -0
2848 -0
2864 -0
2880 -0
2896 -0
2912 -0
2928 0
2944 0
2960 0
2976 0
2992 0
3008 0
3024 0
3040 0
3056 0
3072 0
3088 0
3104 -0
3120 -0
3136 -0
3152 -0
3168 -0
3184 0
3200 0
3216 0
3232 0
3248 0
3264 0
3280 0
3296 0
3312 0
3328 0
3344 0
3360 0
3376 0
